index,mnemonic,positive,corner,pipeline_or_control,trap_or_illegal,evidence
24,BLT,signed taken and not-taken,negative versus positive;equal,forwarded operands;wrong-path kill,misaligned taken target cause 0,tb/tb_CPU_Branch.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
25,BGE,signed taken and not-taken,negative versus positive;equal,forwarded operands;wrong-path kill,misaligned taken target cause 0,tb/tb_CPU_Branch.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
26,BLTU,unsigned taken and not-taken,0xffffffff versus 1;equal,forwarded operands;wrong-path kill,misaligned taken target cause 0,tb/tb_CPU_Branch.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
27,BGEU,unsigned taken and not-taken,0xffffffff versus 1;equal,forwarded operands;wrong-path kill,misaligned taken target cause 0,tb/tb_CPU_Branch.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
28,JAL,PC-relative jump,positive and negative offset;rd x0,link forwarding;wrong-path kill,misaligned target cause 0,tb/tb_CPU_JAL.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
29,JALR,register-indirect jump,negative immediate;bit0 clear;rd x0,base/link forwarding;wrong-path kill,reserved funct3 cause 2;misaligned target cause 0,tb/tb_CPU_JALR.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
30,LB,signed byte load,offsets 0 through 3;sign extension,load-use and base forwarding,n/a,tb/tb_CPU_Load.sv;tb/tb_CPU_Load_Hazard.sv;programs/rv32i_directed.S
31,LH,signed halfword load,offsets 0 and 2;sign extension,load-use and base forwarding,odd address cause 4,tb/tb_CPU_Load.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
32,LW,word load,negative immediate;aligned boundary,load-use and base forwarding,offsets 1 2 3 cause 4,tb/tb_CPU_Load.sv;tb/tb_CPU_Load_Hazard.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
33,LBU,unsigned byte load,offsets 0 through 3;zero extension,load-use and base forwarding,n/a,tb/tb_CPU_Load.sv;tb/tb_CPU_Load_Hazard.sv;programs/rv32i_directed.S
34,LHU,unsigned halfword load,offsets 0 and 2;zero extension,load-use and base forwarding,odd address cause 4,tb/tb_CPU_Load.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
35,SB,byte store,offsets 0 through 3,base and data forwarding;wrong-path kill,n/a,tb/tb_CPU_Store.sv;tb/tb_CPU_Load_Hazard.sv;programs/rv32i_directed.S
36,SH,halfword store,offsets 0 and 2,base and data forwarding;wrong-path kill,offsets 1 and 3 cause 6,tb/tb_CPU_Store.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
37,SW,word store,negative immediate;aligned boundary,base and data forwarding;wrong-path kill,offsets 1 2 3 cause 6,tb/tb_CPU_Store.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
38,FENCE,legal ordering point,nonzero pred succ fm and ignored rd rs1 fields,no source dependency;ordered Store Load,reserved funct3 cause 2,tb/tb_CPU_FENCE.sv;programs/rv32i_directed.S
39,ECALL,environment-call trap,exact 32-bit encoding,older retire;younger kill;ack redirect,cause 11 tval 0;nearby SYSTEM cause 2,tb/tb_CPU_SYSTEM.sv
40,EBREAK,breakpoint trap,exact 32-bit encoding,older retire;younger kill;ack redirect,cause 3 tval 0;does not retire,tb/tb_CPU_SYSTEM.sv;tb/tb_CPU_Image.sv;programs/rv32i_directed.S
